PASS | 1.1 New customer can register | {"user":{"id":"cmtqqm8od0037z6bjcd2jiky5","name":"Journey Tester","email":"journey55123604@test.com","role":"CUSTOMER"}}
PASS | 1.2 Weak password / bad phone rejected
PASS | 1.3 Duplicate email rejected
PASS | 2.1 Logout works
PASS | 2.2 Session cleared after logout
PASS | 2.3 Invalid login rejected
PASS | 2.4 Login with correct password
PASS | 3.1 Address saved (isDefault=true checkbox value)
PASS | 3.2 Second address saved (unchecked default)
PASS | 3.3 Both addresses listed, default correct
PASS | 3.4 Invalid PIN rejected
PASS | 3.5 Out-of-area address saved (customer can store it)
PASS | 4.1 Menu with filters loads
PASS | 4.2 Add to cart
PASS | 4.3 Cart persists server-side
PASS | 4.4 Update quantity
PASS | 5.0 Checkout rejects non-serviceable PIN politely
PASS | 5.1 Checkout creates order
PASS | 5.2 UPI QR (srikantak1@okicici) generated as SVG
PASS | 5.3 QR is a valid non-trivial SVG
PASS | 5.3b Payment config shows UPI ID srikantak1@okicici + correct amount
PASS | 5.4 Other customer cannot see this QR
PASS | 5.5 Customer 'I have paid' notification accepted
PASS | 6.1 Admin login
PASS | 6.2 Customer blocked from admin API
PASS | 6.3 Admin confirms UPI payment received
PASS | 6.4 Payment marked PAID
PASS | 6.5 Status history recorded
PASS | 6.6 Confirmation email logged
PASS | 6.7 Status → CONFIRMED
PASS | 6.8 Status → PREPARING
PASS | 6.9 Status → READY
PASS | 6.10 Status → OUT_FOR_DELIVERY
PASS | 6.11 Status → DELIVERED
PASS | 7.1 Cart cleared after order
PASS | 7.2 Session reflects profile
PASS | 7.3 Profile update works
PASS | 8.1 Anonymous checkout redirects to login
PASS | 8.2 Anonymous admin redirects to login

=== 39 passed / 39 total ===
